Spain	coach	Luis Enrique
Spain	captain	Sergio Ramos
Spain	world cup appearance	15 (first in 1934)
Spain	world cup Champions	2010
Spain	goalkeeper	David de Gea
Spain	has player	David de Gea
David de Gea	position	goalkeeper
David de Gea	goals	0
David de Gea	caps	45
David de Gea	age	30
David de Gea	jersey	1
Spain	goalkeeper	Kepa Arrizabalaga
Spain	has player	Kepa Arrizabalaga
Kepa Arrizabalaga	position	goalkeeper
Kepa Arrizabalaga	goals	0
Kepa Arrizabalaga	caps	11
Kepa Arrizabalaga	age	26
Kepa Arrizabalaga	jersey	13
Spain	defender	Pau Torres
Spain	has player	Pau Torres
Pau Torres	position	defender
Pau Torres	goals	1
Pau Torres	caps	7
Pau Torres	age	23
Pau Torres	jersey	2
Spain	defender	Inigo Martinez
Spain	has player	Inigo Martinez
Inigo Martinez	position	defender
Inigo Martinez	goals	0
Inigo Martinez	caps	12
Inigo Martinez	age	29
Inigo Martinez	jersey	4
Spain	defender	Jose Luis Gaya
Spain	has player	Jose Luis Gaya
Jose Luis Gaya	position	defender
Jose Luis Gaya	goals	2
Jose Luis Gaya	caps	12
Jose Luis Gaya	age	25
Jose Luis Gaya	jersey	14
Spain	defender	Sergio Ramos 
Spain	has player	Sergio Ramos 
Sergio Ramos 	position	defender
Sergio Ramos 	goals	23
Sergio Ramos 	caps	178
Sergio Ramos 	age	34
Sergio Ramos 	jersey	15
Spain	defender	Sergi Roberto
Spain	has player	Sergi Roberto
Sergi Roberto	position	defender
Sergi Roberto	goals	1
Sergi Roberto	caps	10
Sergi Roberto	age	28
Sergi Roberto	jersey	20
Spain	defender	Sergio Reguilon
Spain	has player	Sergio Reguilon
Sergio Reguilon	position	defender
Sergio Reguilon	goals	0
Sergio Reguilon	caps	5
Sergio Reguilon	age	23
Spain	midfielder	Sergio Canales
Spain	has player	Sergio Canales
Sergio Canales	position	midfielder
Sergio Canales	goals	1
Sergio Canales	caps	8
Sergio Canales	age	29
Sergio Canales	jersey	6
Spain	midfielder	Koke 
Spain	has player	Koke 
Koke 	position	midfielder
Koke 	goals	0
Koke 	caps	47
Koke 	age	28
Koke 	jersey	8
Spain	midfielder	Marco Asensio
Spain	has player	Marco Asensio
Marco Asensio	position	midfielder
Marco Asensio	goals	1
Marco Asensio	caps	26
Marco Asensio	age	24
Marco Asensio	jersey	10
Spain	midfielder	Rodri
Spain	has player	Rodri
Rodri	position	midfielder
Rodri	goals	1
Rodri	caps	17
Rodri	age	24
Rodri	jersey	16
Spain	midfielder	Fabian
Spain	has player	Fabian
Fabian	position	midfielder
Fabian	goals	1
Fabian	caps	9
Fabian	age	24
Fabian	jersey	17
Spain	midfielder	Mikel Merino
Spain	has player	Mikel Merino
Mikel Merino	position	midfielder
Mikel Merino	goals	0
Mikel Merino	caps	6
Mikel Merino	age	24
Mikel Merino	jersey	22
Spain	midfielder	Sergio Busquets 
Spain	has player	Sergio Busquets 
Sergio Busquets 	position	midfielder
Sergio Busquets 	goals	2
Sergio Busquets 	caps	120
Sergio Busquets 	age	32
Spain	forward	Alvaro Morata
Spain	has player	Alvaro Morata
Alvaro Morata	position	forward
Alvaro Morata	goals	18
Alvaro Morata	caps	36
Alvaro Morata	age	28
Alvaro Morata	jersey	7
Spain	forward	Gerard
Spain	has player	Gerard
Gerard	position	forward
Gerard	goals	4
Gerard	caps	9
Gerard	age	28
Gerard	jersey	9
Spain	forward	Adama Traore
Spain	has player	Adama Traore
Adama Traore	position	forward
Adama Traore	goals	0
Adama Traore	caps	5
Adama Traore	age	24
Adama Traore	jersey	11
Spain	forward	Ferran Torres
Spain	has player	Ferran Torres
Ferran Torres	position	forward
Ferran Torres	goals	4
Ferran Torres	caps	7
Ferran Torres	age	20
Ferran Torres	jersey	18
Spain	forward	Dani Olmo
Spain	has player	Dani Olmo
Dani Olmo	position	forward
Dani Olmo	goals	1
Dani Olmo	caps	8
Dani Olmo	age	22
Dani Olmo	jersey	19
Spain	forward	Mikel Oyarzabal
Spain	has player	Mikel Oyarzabal
Mikel Oyarzabal	position	forward
Mikel Oyarzabal	goals	4
Mikel Oyarzabal	caps	11
Mikel Oyarzabal	age	23
Mikel Oyarzabal	jersey	21
